0,0,0.31,121.8,339.0,34.6,80.5
0,0,0.31,419.2,301.2,79.0,111.0
0,0,0.35,227.4,305.0,80.6,329.0
0,0,0.36,284.2,291.5,67.0,329.5
0,0,0.37,354.5,271.8,178.5,367.8
0,0,0.40,597.0,210.8,42.5,414.2
0,0,0.41,477.0,279.5,72.0,348.5
0,0,0.44,6.5,374.2,151.1,265.2
0,0,0.48,284.0,292.5,68.5,238.5
0,0,0.61,476.0,275.0,73.0,269.0
0,0,0.63,54.2,306.0,56.0,92.2
0,0,0.66,141.8,377.0,126.2,262.5
0,0,0.69,584.5,223.5,55.0,411.5
0,0,0.78,144.2,257.0,157.8,382.5
0,0,0.84,530.0,296.2,80.0,341.8
0,0,0.88,301.0,241.8,233.0,397.8
6,67,0.61,566.0,509.0,35.0,28.5
6,0,0.25,578.5,283.2,32.5,90.8
6,0,0.25,147.5,305.0,136.8,334.5
6,0,0.29,599.0,207.9,40.5,343.1
6,0,0.31,124.4,338.2,37.1,103.5
6,0,0.31,267.2,321.0,40.2,103.5
6,0,0.33,0.7,377.0,165.2,262.5
6,0,0.34,553.0,239.2,87.0,399.8
6,0,0.46,588.0,206.9,51.5,432.1
6,0,0.55,417.5,302.0,93.5,176.0
6,0,0.59,57.5,307.2,57.7,98.2
6,0,0.59,287.5,298.0,66.0,256.0
6,0,0.63,470.5,274.8,78.5,365.2
6,0,0.67,148.4,378.5,126.4,261.0
6,0,0.72,151.2,270.5,157.2,368.5
6,0,0.74,570.5,216.5,69.0,417.5
6,0,0.79,531.0,292.8,78.0,345.2
6,0,0.90,303.2,253.2,232.2,386.8
12,67,0.62,550.5,501.0,28.5,28.5
12,65,0.26,551.0,500.5,29.0,29.5
12,27,0.27,579.0,329.5,60.5,198.0
12,0,0.35,445.5,305.0,33.8,97.8
12,0,0.44,264.8,321.0,42.5,104.0
12,0,0.45,411.0,288.5,86.8,158.2
12,0,0.50,288.5,292.2,62.5,204.2
12,0,0.52,140.8,361.0,141.0,278.5
12,0,0.59,60.5,310.2,61.6,103.8
12,0,0.60,579.0,199.2,60.5,440.8
12,0,0.72,140.1,259.5,172.6,379.5
12,0,0.74,467.8,275.0,82.2,363.0
12,0,0.76,532.0,293.5,78.0,344.5
12,0,0.78,554.5,198.8,85.0,438.2
12,0,0.90,297.2,263.0,235.8,376.0
18,0,0.29,410.2,292.8,68.8,126.8
18,0,0.31,133.0,334.2,38.0,120.2
18,0,0.32,203.0,240.8,115.8,365.2
18,0,0.47,142.2,242.0,175.8,393.0
18,0,0.53,68.4,310.8,59.9,102.0
18,0,0.56,571.0,198.5,68.5,440.5
18,0,0.59,268.8,323.0,42.8,84.5
18,0,0.62,0.4,367.0,152.2,272.0
18,0,0.65,437.8,304.5,45.0,103.5
18,0,0.70,143.8,357.5,144.8,282.0
18,0,0.72,298.0,282.2,55.2,180.0
18,0,0.75,540.5,201.2,99.0,437.2
18,0,0.78,533.5,294.5,75.0,345.5
18,0,0.78,469.0,273.2,81.5,363.2
18,0,0.90,284.0,256.5,244.0,382.5
24,17,0.50,0.1,381.0,50.8,257.5
24,0,0.32,573.5,199.5,66.0,437.5
24,0,0.34,0.2,379.5,52.3,260.0
24,0,0.43,172.8,257.0,146.2,314.5
24,0,0.44,274.5,320.2,39.0,90.8
24,0,0.52,165.5,367.5,122.5,272.0
24,0,0.61,431.0,304.0,51.8,110.5
24,0,0.68,70.9,306.8,61.2,100.8
24,0,0.73,292.2,280.5,64.8,169.8
24,0,0.78,469.5,274.0,81.0,364.5
24,0,0.80,552.0,206.2,87.5,431.8
24,0,0.81,16.7,395.5,172.6,244.0
